root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# ping 8.8.8.8
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=121 time=1.78 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=121 time=0.913 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=121 time=1.10 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=121 time=0.907 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=121 time=0.889 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=121 time=0.885 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=121 time=0.932 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=121 time=0.918 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=121 time=0.928 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=121 time=0.942 ms
