C:\>tracert 138.197.134.101

Tracing route to 138.197.134.101 over a maximum of 30 hops

  1    <1 ms    <1 ms    <1 ms  mynetwork [192.168.2.1]
  2     7 ms     1 ms     1 ms  10.11.2.9
  3     1 ms     1 ms     1 ms  10.178.206.62
  4     1 ms     1 ms     1 ms  10.178.206.63
  5     8 ms     7 ms     7 ms  tcore3-toronto47_2-8-0-0.net.bell.ca [64.230.107.32]
  6     2 ms     *        2 ms  tcore1-torontoxn_ae1.net.bell.ca [64.230.51.150]
  7     2 ms     2 ms     2 ms  bx5-torontoxn_ae0.net.bell.ca [64.230.52.229]
  8     2 ms     2 ms     2 ms  toro-b1-link.telia.net [213.248.97.222]
  9     2 ms     2 ms     2 ms  toro-b1-link.ip.twelve99.net [62.115.116.181]
 10     2 ms     2 ms     2 ms  digitalocean-ic-313814-toro-b1.c.telia.net [62.115.55.30]
 11     2 ms     2 ms     2 ms  138.197.249.91
 12     *        *        *     Request timed out.
 13     4 ms     2 ms     2 ms  138.197.134.101

Trace complete.
